[cudnnSetConvolutionNdDescriptor] [{convDesc:1048807}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048813}, {padA:(0, 0)}, {filterStrideA:(2, 2)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048819}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048825}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048831}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048837}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048843}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048849}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048855}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048861}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048867}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048873}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048879}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048885}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048891}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048897}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048903}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048909}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048915}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
