[cudnnSetTensorNdDescriptor] [{tensorDesc:1048642}, {dimA:(1, 256, 56, 56)}, {strideA:(802816, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048644}, {dimA:(1, 128, 56, 56)}, {strideA:(401408, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048646}, {dimA:(1, 128, 56, 56)}, {strideA:(401408, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048647}, {dimA:(1, 128, 1, 1)}, {strideA:(128, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048648}, {dimA:(1, 128, 56, 56)}, {strideA:(401408, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048650}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048652}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048653}, {dimA:(1, 128, 1, 1)}, {strideA:(128, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048654}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048656}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048658}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048659}, {dimA:(1, 512, 1, 1)}, {strideA:(512, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048660}, {dimA:(1, 256, 56, 56)}, {strideA:(802816, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048662}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048664}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048665}, {dimA:(1, 512, 1, 1)}, {strideA:(512, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048666}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048668}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048670}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048671}, {dimA:(1, 128, 1, 1)}, {strideA:(128, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048672}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048674}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048676}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048677}, {dimA:(1, 128, 1, 1)}, {strideA:(128, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048678}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048680}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048682}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048683}, {dimA:(1, 512, 1, 1)}, {strideA:(512, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048684}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048686}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048688}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
