[cudnnSetFilterNdDescriptor] [{filterDesc:1048937}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048943}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048949}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048955}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048961}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048967}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048973}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048979}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048985}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048991}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048997}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049003}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049009}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049015}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049021}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049027}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049033}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049039}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049045}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049051}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049057}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049063}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049069}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049075}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049081}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049087}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049093}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049099}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049105}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049111}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049117}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049123}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049129}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049135}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049141}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049147}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049153}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049159}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049165}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049171}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049177}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049183}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049189}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049195}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049201}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049207}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049213}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049219}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049225}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049231}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049237}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049243}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049249}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049255}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049261}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049267}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049273}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049279}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049285}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049291}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049297}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049303}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049309}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049315}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049321}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049327}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049333}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049339}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049345}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049351}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049357}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049363}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049369}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049375}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049381}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049387}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049393}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049399}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049405}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049411}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049417}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049423}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049429}, {filterDimA:(256, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049435}, {filterDimA:(256, 256, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049441}, {filterDimA:(1024, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049447}, {filterDimA:(512, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049453}, {filterDimA:(512, 512, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049459}, {filterDimA:(2048, 512, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049465}, {filterDimA:(2048, 1024, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049471}, {filterDimA:(512, 2048, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049477}, {filterDimA:(512, 512, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049483}, {filterDimA:(2048, 512, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049489}, {filterDimA:(512, 2048, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049495}, {filterDimA:(512, 512, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1049501}, {filterDimA:(2048, 512, 1, 1)}]
