[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048756}, {wDesc:1048757}, {convDesc:1048759}, {algo:1}, {workSpaceSizeInBytes:0}, {yDesc:1048758}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048762}, {wDesc:1048763}, {convDesc:1048765}, {algo:6}, {workSpaceSizeInBytes:1639936}, {yDesc:1048764}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048768}, {wDesc:1048769}, {convDesc:1048771}, {algo:1}, {workSpaceSizeInBytes:0}, {yDesc:1048770}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048774}, {wDesc:1048775}, {convDesc:1048777}, {algo:1}, {workSpaceSizeInBytes:0}, {yDesc:1048776}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048780}, {wDesc:1048781}, {convDesc:1048783}, {algo:6}, {workSpaceSizeInBytes:1639936}, {yDesc:1048782}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048786}, {wDesc:1048787}, {convDesc:1048789}, {algo:1}, {workSpaceSizeInBytes:0}, {yDesc:1048788}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048792}, {wDesc:1048793}, {convDesc:1048795}, {algo:1}, {workSpaceSizeInBytes:0}, {yDesc:1048794}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048798}, {wDesc:1048799}, {convDesc:1048801}, {algo:1}, {workSpaceSizeInBytes:5724432}, {yDesc:1048800}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048804}, {wDesc:1048805}, {convDesc:1048807}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1048806}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048810}, {wDesc:1048811}, {convDesc:1048813}, {algo:1}, {workSpaceSizeInBytes:4510992}, {yDesc:1048812}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048816}, {wDesc:1048817}, {convDesc:1048819}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1048818}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048822}, {wDesc:1048823}, {convDesc:1048825}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1048824}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048828}, {wDesc:1048829}, {convDesc:1048831}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1048830}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048834}, {wDesc:1048835}, {convDesc:1048837}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1048836}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048840}, {wDesc:1048841}, {convDesc:1048843}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1048842}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048846}, {wDesc:1048847}, {convDesc:1048849}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1048848}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048852}, {wDesc:1048853}, {convDesc:1048855}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1048854}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048858}, {wDesc:1048859}, {convDesc:1048861}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1048860}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048864}, {wDesc:1048865}, {convDesc:1048867}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1048866}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048870}, {wDesc:1048871}, {convDesc:1048873}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1048872}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048876}, {wDesc:1048877}, {convDesc:1048879}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1048878}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048882}, {wDesc:1048883}, {convDesc:1048885}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1048884}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048888}, {wDesc:1048889}, {convDesc:1048891}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1048890}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048894}, {wDesc:1048895}, {convDesc:1048897}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1048896}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048900}, {wDesc:1048901}, {convDesc:1048903}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1048902}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048906}, {wDesc:1048907}, {convDesc:1048909}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1048908}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048912}, {wDesc:1048913}, {convDesc:1048915}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1048914}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048918}, {wDesc:1048919}, {convDesc:1048921}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1048920}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048924}, {wDesc:1048925}, {convDesc:1048927}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1048926}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048930}, {wDesc:1048931}, {convDesc:1048933}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1048932}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048936}, {wDesc:1048937}, {convDesc:1048939}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1048938}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048942}, {wDesc:1048943}, {convDesc:1048945}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1048944}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048948}, {wDesc:1048949}, {convDesc:1048951}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1048950}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048954}, {wDesc:1048955}, {convDesc:1048957}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1048956}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048960}, {wDesc:1048961}, {convDesc:1048963}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1048962}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048966}, {wDesc:1048967}, {convDesc:1048969}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1048968}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048972}, {wDesc:1048973}, {convDesc:1048975}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1048974}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048978}, {wDesc:1048979}, {convDesc:1048981}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1048980}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048984}, {wDesc:1048985}, {convDesc:1048987}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1048986}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048990}, {wDesc:1048991}, {convDesc:1048993}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1048992}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048996}, {wDesc:1048997}, {convDesc:1048999}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1048998}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049002}, {wDesc:1049003}, {convDesc:1049005}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1049004}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049008}, {wDesc:1049009}, {convDesc:1049011}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1049010}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049014}, {wDesc:1049015}, {convDesc:1049017}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1049016}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049020}, {wDesc:1049021}, {convDesc:1049023}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1049022}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049026}, {wDesc:1049027}, {convDesc:1049029}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1049028}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049032}, {wDesc:1049033}, {convDesc:1049035}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1049034}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049038}, {wDesc:1049039}, {convDesc:1049041}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1049040}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049044}, {wDesc:1049045}, {convDesc:1049047}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1049046}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049050}, {wDesc:1049051}, {convDesc:1049053}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1049052}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049056}, {wDesc:1049057}, {convDesc:1049059}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1049058}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049062}, {wDesc:1049063}, {convDesc:1049065}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1049064}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049068}, {wDesc:1049069}, {convDesc:1049071}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1049070}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049074}, {wDesc:1049075}, {convDesc:1049077}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1049076}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049080}, {wDesc:1049081}, {convDesc:1049083}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1049082}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049086}, {wDesc:1049087}, {convDesc:1049089}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1049088}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049092}, {wDesc:1049093}, {convDesc:1049095}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1049094}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049098}, {wDesc:1049099}, {convDesc:1049101}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1049100}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049104}, {wDesc:1049105}, {convDesc:1049107}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1049106}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049110}, {wDesc:1049111}, {convDesc:1049113}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1049112}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049116}, {wDesc:1049117}, {convDesc:1049119}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1049118}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049122}, {wDesc:1049123}, {convDesc:1049125}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1049124}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049128}, {wDesc:1049129}, {convDesc:1049131}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1049130}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049134}, {wDesc:1049135}, {convDesc:1049137}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1049136}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049140}, {wDesc:1049141}, {convDesc:1049143}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1049142}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049146}, {wDesc:1049147}, {convDesc:1049149}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1049148}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049152}, {wDesc:1049153}, {convDesc:1049155}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1049154}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049158}, {wDesc:1049159}, {convDesc:1049161}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1049160}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049164}, {wDesc:1049165}, {convDesc:1049167}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1049166}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049170}, {wDesc:1049171}, {convDesc:1049173}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1049172}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049176}, {wDesc:1049177}, {convDesc:1049179}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1049178}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049182}, {wDesc:1049183}, {convDesc:1049185}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1049184}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049188}, {wDesc:1049189}, {convDesc:1049191}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1049190}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049194}, {wDesc:1049195}, {convDesc:1049197}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1049196}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049200}, {wDesc:1049201}, {convDesc:1049203}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1049202}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049206}, {wDesc:1049207}, {convDesc:1049209}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1049208}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049212}, {wDesc:1049213}, {convDesc:1049215}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1049214}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049218}, {wDesc:1049219}, {convDesc:1049221}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1049220}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049224}, {wDesc:1049225}, {convDesc:1049227}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1049226}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049230}, {wDesc:1049231}, {convDesc:1049233}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1049232}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049236}, {wDesc:1049237}, {convDesc:1049239}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1049238}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049242}, {wDesc:1049243}, {convDesc:1049245}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1049244}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049248}, {wDesc:1049249}, {convDesc:1049251}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1049250}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049254}, {wDesc:1049255}, {convDesc:1049257}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1049256}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049260}, {wDesc:1049261}, {convDesc:1049263}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1049262}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049266}, {wDesc:1049267}, {convDesc:1049269}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1049268}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049272}, {wDesc:1049273}, {convDesc:1049275}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1049274}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049278}, {wDesc:1049279}, {convDesc:1049281}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1049280}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049284}, {wDesc:1049285}, {convDesc:1049287}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1049286}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049290}, {wDesc:1049291}, {convDesc:1049293}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1049292}, {beta:0.000000}]
